"Time","myMedian.getCount()","currentADC","currentAverage","lastSignificantAverage","deltaAverage","triggered","fading","fadeDir","fadeValue"
267860,19,393,390.44,390.22,0.22,0,1,0,137
267878,19,389,390.44,390.22,0.22,0,1,0,137
267882,19,389,390.44,390.22,0.22,0,1,0,138
267896,19,389,390.44,389.78,0.67,0,1,0,138
267914,19,393,390.89,390.22,0.67,0,1,0,138
267918,19,393,390.89,390.22,0.67,0,1,0,139
267932,19,388,390.89,390.22,0.67,0,1,0,139
267950,19,385,390.89,390.22,0.67,0,1,0,139
267954,19,385,390.89,390.22,0.67,0,1,0,140
267968,19,431,390.89,390.00,0.89,0,1,0,140
267986,19,396,390.89,390.44,0.44,0,1,0,140
267990,19,396,390.89,390.44,0.44,0,1,0,141
268004,19,396,391.00,390.44,0.56,0,1,0,141
268022,19,392,391.33,390.44,0.89,0,1,0,141
268026,19,392,391.33,390.44,0.89,0,1,0,142
268040,19,389,391.33,390.89,0.44,0,1,0,142
268058,19,389,391.33,390.89,0.44,0,1,0,142
268062,19,389,391.33,390.89,0.44,0,1,0,143
268076,19,392,391.33,390.89,0.44,0,1,0,143
268094,19,389,391.33,390.89,0.44,0,1,0,143
268098,19,389,391.33,390.89,0.44,0,1,0,144
268112,19,384,391.33,390.89,0.44,0,1,0,144
268130,19,431,391.33,391.00,0.33,0,1,0,144
268134,19,431,391.33,391.00,0.33,0,1,0,145
268148,19,401,391.33,391.33,0.00,0,1,0,145
268166,19,396,391.56,391.33,0.22,0,1,0,145
268170,19,396,391.56,391.33,0.22,0,1,0,146
268184,19,391,391.56,391.33,0.22,0,1,0,146
268203,19,388,391.11,391.33,-0.22,0,1,0,146
268207,19,388,391.11,391.33,-0.22,0,1,0,147
268221,19,392,391.44,391.33,0.11,0,1,0,147
268239,19,392,391.78,391.33,0.44,0,1,0,147
268243,19,392,391.78,391.33,0.44,0,1,0,148
268257,19,393,391.78,391.33,0.44,0,1,0,148
268275,19,384,391.78,391.33,0.44,0,1,0,148
268279,19,384,391.78,391.33,0.44,0,1,0,149
268293,19,427,392.56,391.56,1.00,0,1,0,149
268311,19,403,392.56,391.56,1.00,0,1,0,149
268315,19,403,392.56,391.56,1.00,0,1,0,150
268329,19,394,392.33,391.11,1.22,0,1,0,150
268347,19,391,391.78,391.44,0.33,0,1,0,150
268351,19,391,391.78,391.44,0.33,0,1,0,151
268365,19,389,391.44,391.78,-0.33,0,1,0,151
268383,19,393,391.89,391.78,0.11,0,1,0,151
268387,19,393,391.89,391.78,0.11,0,1,0,152
268401,19,389,391.89,391.78,0.11,0,1,0,152
268419,19,392,391.89,392.56,-0.67,0,1,0,152
